t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.033,0.00732249,0.202354814,0.213505511,-1.162266035,2.009922302,-1.185766956,2.088631599,0.22033962,-0.009280454,5.990595039,0,0,0,0,0,0,0,0
0.034,0.007550521,0.202325113,0.220006817,-1.162266035,2.009922302,-1.189041445,2.088631599,0.221868559,-0.014340838,6.102820138,0,0,0,0,0,0,0,0
0.035,0.007778552,0.202295412,0.226508124,-1.162266035,2.009922302,-1.192315933,2.088631599,0.223397497,-0.019401222,6.215045236,0,0,0,0,0,0,0,0
0.036,0.008006583,0.202265711,0.233009431,-1.162266035,2.009922302,-1.195590422,2.088631599,0.224926436,-0.024461607,6.327270335,0,0,0,0,0,0,0,0
0.037,0.008234614,0.20223601,0.239510737,-1.162266035,2.009922302,-1.19886491,2.088631599,0.226455374,-0.029521991,6.439495433,0,0,0,0,0,0,0,0
0.038,0.008462645,0.202206309,0.246012044,-1.162266035,2.009922302,-1.202139399,2.088631599,0.227984313,-0.034582375,6.551720532,0,0,0,0,0,0,0,0
0.039,0.008690676,0.202176608,0.25251335,-1.162266035,2.009922302,-1.205413887,2.088631599,0.229513251,-0.03964276,6.663945631,0,0,0,0,0,0,0,0
0.04,0.008918707,0.202146907,0.259014657,-1.162266035,2.009922302,-1.208688376,2.088631599,0.231042189,-0.044703144,6.776170729,0,0,0,0,0,0,0,0
0.041,0.009146739,0.202117206,0.265515964,-1.162266035,2.009922302,-1.211962864,2.088631599,0.232571128,-0.049763528,6.888395828,0,0,0,0,0,0,0,0
0.042,0.00937477,0.202087505,0.27201727,-1.162266035,2.009922302,-1.215237353,2.088631599,0.234100066,-0.054823913,7.000620926,0,0,0,0,0,0,0,0
0.043,0.009602801,0.202057804,0.278518577,-1.162266035,2.009922302,-1.218511841,2.088631599,0.235629005,-0.059884297,7.112846025,0,0,0,0,0,0,0,0
0.044,0.009830832,0.202028103,0.285019884,-1.162266035,2.009922302,-1.22178633,2.088631599,0.237157943,-0.064944681,7.225071123,0,0,0,0,0,0,0,0
0.045,0.010058863,0.201998402,0.29152119,-1.162266035,2.009922302,-1.225060818,2.088631599,0.238686882,-0.070005066,7.337296222,0,0,0,0,0,0,0,0
0.046,0.010309773,0.201905382,0.300216124,-1.162266035,2.009922302,-1.228624828,2.088631599,0.240529151,-0.0716077,7.553848893,0,0,0,0,0,0,0,0
0.047,0.010560682,0.201812361,0.308911058,-1.162266035,2.009922302,-1.232188839,2.088631599,0.242371419,-0.073210334,7.770401564,0,0,0,0,0,0,0,0
0.048,0.010811592,0.201719341,0.317605992,-1.162266035,2.009922302,-1.235752849,2.088631599,0.244213688,-0.074812968,7.986954235,0,0,0,0,0,0,0,0
0.049,0.011062501,0.20162632,0.326300926,-1.162266035,2.009922302,-1.239316859,2.088631599,0.246055957,-0.076415602,8.203506906,0,0,0,0,0,0,0,0
0.05,0.011313411,0.2015333,0.334995859,-1.162266035,2.009922302,-1.242880869,2.088631599,0.247898226,-0.078018236,8.420059577,0,0,0,0,0,0,0,0
0.051,0.011564321,0.20144028,0.343690793,-1.162266035,2.009922302,-1.24644488,2.088631599,0.249740495,-0.07962087,8.636612248,0,0,0,0,0,0,0,0
0.052,0.01181523,0.201347259,0.352385727,-1.162266035,2.009922302,-1.25000889,2.088631599,0.251582764,-0.081223504,8.853164919,0,0,0,0,0,0,0,0
0.053,0.01206614,0.201254239,0.361080661,-1.162266035,2.009922302,-1.2535729,2.088631599,0.253425032,-0.082826138,9.069717591,0,0,0,0,0,0,0,0
0.054,0.01231705,0.201161218,0.369775594,-1.162266035,2.009922302,-1.25713691,2.088631599,0.255267301,-0.084428772,9.286270262,0,0,0,0,0,0,0,0
0.055,0.012567959,0.201068198,0.378470528,-1.162266035,2.009922302,-1.260700921,2.088631599,0.25710957,-0.086031406,9.502822933,0,0,0,0,0,0,0,0
0.056,0.012818869,0.200975177,0.387165462,-1.162266035,2.009922302,-1.264264931,2.088631599,0.258951839,-0.08763404,9.719375604,0,0,0,0,0,0,0,0
