time,state,x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,wr,wp,wy,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,w_LF_HAA,w_LF_HFE,w_LF_KFE,w_RF_HAA,w_RF_HFE,w_RF_KFE,w_LH_HAA,w_LH_HFE,w_LH_KFE,w_RH_HAA,w_RH_HFE,w_RH_KFE,tau_LF_HAA,tau_LF_HFE,tau_LF_KFE,tau_RF_HAA,tau_RF_HFE,tau_RF_KFE,tau_LH_HAA,tau_LH_HFE,tau_LH_KFE,tau_RH_HAA,tau_RH_HFE,tau_RH_KFE
2011,2,-0.0134478,1.00038,0.139886,0.999984,0.000755731,-0.00539734,0.00135417,-0.259935,-0.00265042,0.453204,0.107278,0.209114,0.00799606,0.00695854,-1.1835,2.4361,0.0104297,-1.1845,2.43679,0.0191232,-0.96048,2.42852,0.0204886,-0.960295,2.42971,-0.127754,3.34059,-2.54982,0.0772024,3.28996,-2.47268,-0.159037,2.8936,-3.22974,0.0224826,2.85877,-3.13954,-0.425256,13,-21,-0.620948,13,-21,-1.15692,0,-17.2651,-1.22769,0,-17.3093
2012,2,-0.0137183,1.00037,0.140357,0.999985,0.000808633,-0.00529289,0.00135778,-0.281014,-0.00304131,0.488372,0.103679,0.208996,0.00791079,0.00683281,-1.18004,2.43344,0.0105029,-1.18109,2.43421,0.0189647,-0.957486,2.42517,0.020506,-0.957335,2.42646,-0.123694,3.58779,-2.76605,0.0692132,3.53782,-2.68867,-0.157843,3.0963,-3.46509,0.0121694,3.06195,-3.3749,-0.417512,13,-21,-0.625783,13,-21,-1.14739,0,-17.1408,-1.22932,0,-17.1886
2013,2,-0.0140097,1.00037,0.140862,0.999985,0.000859543,-0.00518926,0.00136135,-0.301718,-0.00343705,0.522571,0.0993173,0.20579,0.00775728,0.00671153,-1.17633,2.43057,0.0105678,-1.17743,2.43142,0.0188079,-0.954293,2.4216,0.0205129,-0.954176,2.42297,-0.118873,3.82568,-2.98032,0.0604935,3.77673,-2.90325,-0.155712,3.28932,-3.69164,0.00180713,3.25567,-3.60223,-0.409969,13,-21,-0.630175,13,-21,-1.13788,0,-17.0069,-1.23036,0,-17.0583
2014,2,-0.0143215,1.00037,0.141402,0.999986,0.000908104,-0.00508798,0.00136484,-0.322057,-0.00383362,0.55581,0.0942993,0.199556,0.00755068,0.00659553,-1.17239,2.42748,0.0106236,-1.17354,2.42841,0.0186538,-0.950912,2.41779,0.0205092,-0.950828,2.41926,-0.113126,4.05434,-3.19287,0.0510629,4.00672,-3.11637,-0.152599,3.47279,-3.90965,-0.00923994,3.4401,-3.82131,-0.402692,13,-21,-0.634066,13,-21,-1.12848,0,-16.8638,-1.23078,0,-16.9187
2015,2,-0.0146536,1.00036,0.141974,0.999986,0.000954054,-0.00499058,0.00136823,-0.342042,-0.00422915,0.588096,0.0888958,0.190302,0.00729576,0.00648544,-1.16822,2.42418,0.0106698,-1.16942,2.42519,0.018503,-0.947352,2.41378,0.0204946,-0.947301,2.41533,-0.107047,4.2738,-3.40368,0.0413432,4.22775,-3.32811,-0.14896,3.64683,-4.1192,-0.0199507,3.61521,-4.03249,-0.395732,13,-21,-0.637413,13,-21,-1.11923,0,-16.7118,-1.23055,0,-16.7703
2016,2,-0.0150055,1.00036,0.142577,0.999987,0.000997213,-0.00489854,0.0013715,-0.361682,-0.00462043,0.619438,0.0831667,0.178091,0.00700493,0.0063817,-1.16385,2.42067,0.0107061,-1.16509,2.42175,0.0183562,-0.943623,2.40956,0.0204692,-0.943602,2.4112,-0.100444,4.48417,-3.61297,0.0313109,4.43987,-3.53843,-0.144711,3.81158,-4.32056,-0.0309817,3.78123,-4.23556,-0.389127,13,-21,-0.640185,13,-21,-1.11018,0,-16.5512,-1.22968,0,-16.6132
2017,2,-0.0153768,1.00035,0.143212,0.999987,0.00103747,-0.00481333,0.00137464,-0.380988,-0.00500623,0.649844,0.0773301,0.162936,0.00668095,0.00628456,-1.15926,2.41696,0.0107324,-1.16055,2.41811,0.0182137,-0.939733,2.40514,0.020433,-0.939743,2.40686,-0.0938229,4.68551,-3.8207,0.0213149,4.64307,-3.74741,-0.140242,3.96719,-4.51377,-0.0414052,3.93815,-4.43088,-0.382902,13,-21,-0.642365,13,-21,-1.10137,0,-16.3824,-1.22815,0,-16.4478
2018,2,-0.0157673,1.00035,0.143877,0.999987,0.00107478,-0.00473642,0.00137763,-0.399968,-0.00538409,0.679322,0.0714087,0.144901,0.00633391,0.00619417,-1.15448,2.41303,0.0107487,-1.15581,2.41426,0.0180759,-0.935693,2.40054,0.0203863,-0.935731,2.40234,-0.0869734,4.87794,-4.02705,0.0112986,4.83745,-3.95502,-0.135439,4.11381,-4.69908,-0.0518877,4.0862,-4.61826,-0.377074,13,-21,-0.643944,13,-21,-1.09282,0,-16.2057,-1.22598,0,-16.2745
2019,2,-0.0161766,1.00034,0.14457,0.999988,0.00110913,-0.00466924,0.00138047,-0.418632,-0.0057533,0.707881,0.0655765,0.124002,0.00596501,0.00611051,-1.14951,2.4089,0.0107551,-1.15087,2.4102,0.0179428,-0.93151,2.39575,0.0203296,-0.931575,2.39763,-0.0803279,5.06153,-4.23199,0.00154824,5.02304,-4.16133,-0.130634,4.2516,-4.87653,-0.0615848,4.22541,-4.79805,-0.37165,13,-21,-0.644922,13,-21,-1.08455,0,-16.0215,-1.22318,0,-16.0935
2020,2,-0.0166044,1.00034,0.145292,0.999988,0.00114056,-0.00461321,0.00138315,-0.436983,-0.00611114,0.735528,0.0597797,0.100284,0.00555928,0.00603355,-1.14436,2.40457,0.0107519,-1.14576,2.40594,0.0178147,-0.927194,2.39079,0.0202632,-0.927284,2.39275,-0.0735943,5.23634,-4.43566,-0.00808728,5.19992,-4.36633,-0.125671,4.38062,-5.04627,-0.0711834,4.35599,-4.97006,-0.366631,12.9936,-21,-0.645307,13,-21,-1.07657,0,-15.83,-1.21978,0,-15.9052
2021,2,-0.0170503,1.00033,0.146041,0.999988,0.0011691,-0.00456984,0.00138563,-0.454948,-0.00645639,0.762233,0.0541046,0.0733596,0.00509172,0.00596322,-1.13904,2.40003,0.0107391,-1.14048,2.40147,0.0176914,-0.922754,2.38566,0.0201877,-0.922868,2.38769,-0.0670638,5.40159,-4.63821,-0.0174554,5.36732,-4.57027,-0.120794,4.49985,-5.20756,-0.0799283,4.47685,-5.13393,-0.362013,12.9267,-21,-0.645111,12.9449,-21,-1.06888,0,-15.6315,-1.21579,0,-15.7098
2022,2,-0.0175141,1.00033,0.146816,0.999988,0.00119483,-0.00454072,0.0013879,-0.472526,-0.006789,0.788004,0.0486229,0.0432573,0.00461091,0.00589937,-1.13356,2.39529,0.0107171,-1.13503,2.3968,0.0175731,-0.918199,2.38038,0.0201035,-0.918335,2.38248,-0.0606537,5.55739,-4.83979,-0.0265114,5.52524,-4.77314,-0.115906,4.60941,-5.36059,-0.0884256,4.58807,-5.28936,-0.357793,12.8575,-21,-0.644345,12.8762,-21,-1.06149,0,-15.4264,-1.21126,0,-15.5077
2023,2,-0.0179952,1.00032,0.147616,0.999988,0.00121788,-0.00452743,0.00138996,-0.489722,-0.00710895,0.81285,0.0434457,0.0100073,0.00411631,0.0058417,-1.12793,2.39035,0.0106863,-1.12943,2.39192,0.0174595,-0.91354,2.37494,0.0200113,-0.913696,2.37712,-0.0546777,5.70385,-5.04034,-0.0350639,5.67378,-4.97498,-0.111252,4.70947,-5.5054,-0.0959719,4.68974,-5.43668,-0.353962,12.7863,-21,-0.643026,12.8054,-21,-1.05439,0,-15.2151,-1.20621,0,-15.2993
2024,2,-0.0184933,1.00031,0.148441,0.999988,0.00123838,-0.00453153,0.00139181,-0.506544,-0.00741527,0.836781,0.0385321,-0.0263162,0.00361354,0.0057899,-1.12216,2.38521,0.0106472,-1.12369,2.38685,0.0173505,-0.908785,2.36937,0.0199117,-0.90896,2.37161,-0.0489178,5.84114,-5.23998,-0.0432162,5.8131,-5.17578,-0.106678,4.80023,-5.64218,-0.103208,4.78212,-5.57576,-0.350502,12.7131,-21,-0.641179,12.7326,-21,-1.04757,0,-14.9977,-1.20068,0,-15.0848
2025,2,-0.0190081,1.0003,0.149289,0.999988,0.00125648,-0.00455456,0.00139343,-0.522999,-0.00770821,0.859806,0.033969,-0.0656779,0.00310143,0.00574362,-1.11625,2.37987,0.0106002,-1.11781,2.38157,0.017246,-0.903944,2.36366,0.0198053,-0.904137,2.36597,-0.0436376,5.96943,-5.43866,-0.0508154,5.94335,-5.37558,-0.102396,4.88188,-5.77098,-0.10949,4.86532,-5.70693,-0.347394,12.6381,-21,-0.63883,12.658,-21,-1.04103,0,-14.7748,-1.1947,0,-14.8645
