time,state,x,y,z,qw,qx,qy,qz,Vx,Vy,Vz,wr,wp,wy,LF_HAA,LF_HFE,LF_KFE,RF_HAA,RF_HFE,RF_KFE,LH_HAA,LH_HFE,LH_KFE,RH_HAA,RH_HFE,RH_KFE,w_LF_HAA,w_LF_HFE,w_LF_KFE,w_RF_HAA,w_RF_HFE,w_RF_KFE,w_LH_HAA,w_LH_HFE,w_LH_KFE,w_RH_HAA,w_RH_HFE,w_RH_KFE,tau_LF_HAA,tau_LF_HFE,tau_LF_KFE,tau_RF_HAA,tau_RF_HFE,tau_RF_KFE,tau_LH_HAA,tau_LH_HFE,tau_LH_KFE,tau_RH_HAA,tau_RH_HFE,tau_RH_KFE
2176,3,-0.168908,0.998523,0.281322,0.97023,0.00131326,-0.242179,0.00103224,-1.08796,-0.0119836,0.251064,-0.00479036,-3.43512,-0.0149641,-0.00106252,-0.27147,0.675025,-0.00106984,-0.271722,0.675429,0.00193622,-0.50027,1.58743,0.00189877,-0.500807,1.58752,0.0384165,0.897029,-0.879185,0.0294681,0.941308,-0.902486,-0.612529,3.35713,-13.3522,-0.618222,3.357,-13.3605,0.0664599,0.145473,-1.27453,0.0663857,0.163345,-1.30878,-0.151673,0,-16.1018,-0.149757,0,-16.1097
2177,3,-0.169996,0.998512,0.281568,0.969813,0.00129558,-0.243846,0.00101879,-1.08806,-0.0109455,0.241164,-0.04171,-3.43814,-0.0613938,-0.000991297,-0.270623,0.674182,-0.00107796,-0.270816,0.674552,0.00132006,-0.497067,1.57454,0.00154377,-0.498687,1.57952,0.104036,0.795643,-0.8065,-0.0457155,0.870233,-0.851804,-0.619786,3.04932,-12.4332,-0.09176,0.882659,-2.64253,0.0637514,0.0881845,-1.20199,0.0641902,0.103323,-1.2343,-0.116173,0,-14.9944,-0.113926,0,-15.0017
2178,3,-0.171087,0.998502,0.281807,0.969399,0.00122266,-0.245487,0.00098131,-1.09477,-0.00983302,0.237307,-0.195775,-3.3339,-0.161956,-0.000769957,-0.269829,0.673435,-0.0012137,-0.269931,0.673737,0.00114,-0.495055,1.56698,0.00144406,-0.497414,1.57643,0.338644,0.79329,-0.688443,-0.225754,0.900002,-0.77736,0.259667,0.974079,-2.68729,-0.107675,1.66418,-3.53953,0.0594778,0.0374043,-1.13456,0.0646776,0.0489765,-1.16413,-0.0792038,0,-13.963,-0.0926265,0,-14.3615
2179,3,-0.172187,0.998492,0.282045,0.968999,0.00111795,-0.247059,0.000932366,-1.10571,-0.00956219,0.238639,-0.154064,-3.15296,-0.136769,-0.000446362,-0.268982,0.672767,-0.00137739,-0.269003,0.673035,0.00143172,-0.493678,1.56384,0.00141527,-0.495357,1.57248,0.308546,0.900131,-0.645701,-0.101631,0.957181,-0.627662,0.323773,1.78102,-3.57866,0.0500924,2.44927,-4.36384,0.0461974,-0.0102637,-1.07477,0.0728217,-0.00413056,-1.09896,-0.0684002,0,-13.3582,-0.0866434,0,-14.1143
2180,3,-0.173298,0.998482,0.282284,0.968618,0.0010344,-0.248549,0.00088979,-1.11512,-0.00934509,0.238553,-0.120463,-2.99904,-0.116072,-0.00015232,-0.268057,0.67216,-0.00142898,-0.268019,0.672433,0.00178155,-0.491551,1.55989,0.00152617,-0.492568,1.56776,0.279539,0.950891,-0.569367,-0.00155749,1.00934,-0.575094,0.375886,2.47339,-4.32594,0.171717,3.12902,-5.07912,0.0267817,-0.0610663,-1.0214,0.0826433,-0.059846,-1.04276,-0.0859034,0,-13.1076,-0.0849159,0,-13.7981
2181,4,-0.174401,0.998473,0.282516,0.968221,0.00096541,-0.250092,0.000851644,-1.09121,-0.00913829,0.22611,-0.101767,-3.37465,-0.10528,2.35E-05,-0.267327,0.671497,-0.00149616,-0.267235,0.671764,0.00184218,-0.491871,1.55985,0.00140381,-0.492312,1.56706,0.0721515,0.508598,-0.757125,-0.132799,0.559899,-0.762602,-0.254622,-3.11358,4.23332,-0.416445,-2.61668,3.69827,0.00913917,-0.116597,-0.972797,0.0857389,-0.118842,-0.994651,-0.106893,-13,4.00863,-0.0915702,-13,3.3796
2182,4,-0.175486,0.998464,0.282739,0.967786,0.000906619,-0.251773,0.000816512,-1.07915,-0.00894303,0.218827,-0.0833743,-3.56935,-0.0945996,2.89E-05,-0.266969,0.670771,-0.00165959,-0.266829,0.671034,0.00158727,-0.496252,1.5647,0.00101696,-0.496249,1.57143,-0.0614181,0.207489,-0.693401,-0.194067,0.252191,-0.698021,-0.255206,-5.64863,5.47138,-0.357246,-5.25787,5.03874,-0.00141153,-0.160382,-0.919737,0.0897696,-0.165919,-0.941143,-0.110531,-13,4.01234,-0.0842284,-13,3.43483
2183,4,-0.176561,0.998455,0.282954,0.967326,0.000856915,-0.253533,0.00078404,-1.07106,-0.00878006,0.212269,-0.0689164,-3.70862,-0.0860449,-7.93E-05,-0.266858,0.67008,-0.00187134,-0.266675,0.670337,0.0013916,-0.502618,1.57019,0.000741275,-0.502269,1.5765,-0.154936,0.0152126,-0.689966,-0.229433,0.0544208,-0.695306,-0.136126,-7.08286,5.50655,-0.194126,-6.7808,5.10042,-0.00173353,-0.181864,-0.861716,0.0995756,-0.190281,-0.882718,-0.0952362,-13,3.62415,-0.0610176,-13,3.08535
2184,4,-0.17763,0.998447,0.283163,0.966847,0.000814211,-0.255353,0.000753682,-1.0655,-0.00865198,0.205781,-0.0581838,-3.81894,-0.0794641,-0.000268992,-0.266915,0.669399,-0.00211303,-0.266697,0.669651,0.00132329,-0.509909,1.57588,0.000621905,-0.50928,1.58181,-0.224479,-0.130906,-0.671968,-0.253937,-0.0969396,-0.677749,-0.000513066,-7.50088,5.86944,-0.0446141,-7.24286,5.52082,0.00475707,-0.188545,-0.806382,0.112281,-0.19948,-0.826985,-0.0834963,-13,3.18503,-0.0444765,-13,2.67978
2185,4,-0.178693,0.998438,0.283366,0.966352,0.000777,-0.257221,0.000725013,-1.06129,-0.00853778,0.19995,-0.0491981,-3.9095,-0.0740067,-0.000520341,-0.267102,0.668736,-0.0023752,-0.266852,0.668982,0.00139432,-0.51742,1.58172,0.000652981,-0.516545,1.58733,-0.278219,-0.2421,-0.653533,-0.270401,-0.213115,-0.659159,0.142573,-7.52052,5.82376,0.106767,-7.28655,5.51238,0.0161395,-0.185075,-0.751904,0.126782,-0.198204,-0.772063,-0.0793971,-13,2.72999,-0.0373143,-13,2.25494
2186,4,-0.179752,0.99843,0.283564,0.965842,0.000744413,-0.259129,0.00069773,-1.05766,-0.00843616,0.194564,-0.0415758,-3.99071,-0.0694345,-0.000820182,-0.267389,0.668092,-0.00265179,-0.267112,0.668332,0.00159733,-0.524875,1.58745,0.000822455,-0.523773,1.59276,-0.321463,-0.332176,-0.635195,-0.282787,-0.307746,-0.640698,0.263462,-7.38852,5.63447,0.232181,-7.16867,5.34945,0.0312205,-0.173884,-0.698884,0.142512,-0.188903,-0.718587,-0.0836589,-13,2.26226,-0.0391789,-13,1.81361
2187,4,-0.180808,0.998421,0.283756,0.965318,0.000715763,-0.261074,0.000671593,-1.05428,-0.00834577,0.189516,-0.0350305,-4.067,-0.0655682,-0.0011593,-0.267759,0.667466,-0.00293949,-0.267459,0.667701,0.00190688,-0.532168,1.59297,0.00110167,-0.530851,1.598,-0.356768,-0.407162,-0.617076,-0.292622,-0.38694,-0.62241,0.355634,-7.19875,5.40014,0.326259,-6.98812,5.13557,0.0492109,-0.156656,-0.647335,0.159107,-0.173277,-0.666592,-0.09584,-13,1.80393,-0.0493473,-13,1.37913
2188,4,-0.181861,0.998413,0.283943,0.964781,0.000690502,-0.263054,0.000646409,-1.05101,-0.00826517,0.184741,-0.0293489,-4.14046,-0.062279,-0.00153045,-0.268197,0.666857,-0.00323607,-0.26788,0.667087,0.0022949,-0.539261,1.59825,0.00146039,-0.537737,1.60303,-0.385547,-0.470021,-0.59922,-0.30052,-0.453672,-0.604382,0.420395,-6.98752,5.157,0.391166,-6.78362,4.90939,0.0695578,-0.134476,-0.597244,0.17637,-0.152436,-0.616068,-0.114413,-13,1.36255,-0.0661005,-13,0.959733
2189,4,-0.18291,0.998405,0.284125,0.964229,0.000668188,-0.265068,0.000622016,-1.0478,-0.00819307,0.180194,-0.0243685,-4.21222,-0.0594719,-0.00192759,-0.268694,0.666267,-0.00353971,-0.268361,0.666492,0.00273581,-0.54614,1.60328,0.00187159,-0.544414,1.60782,-0.408717,-0.522493,-0.581624,-0.30677,-0.509697,-0.586623,0.461434,-6.76933,4.91796,0.431249,-6.57084,4.68504,0.0918273,-0.10816,-0.548592,0.194164,-0.127218,-0.566996,-0.137694,-13,0.940263,-0.0876232,-13,0.557934
2190,4,-0.183957,0.998396,0.284303,0.963664,0.000648456,-0.267115,0.000598277,-1.0446,-0.00812835,0.17584,-0.0199642,-4.283,-0.0570746,-0.00234542,-0.269238,0.665694,-0.00384887,-0.268894,0.665914,0.00320797,-0.5528,1.60809,0.00231279,-0.550878,1.6124,-0.426956,-0.565793,-0.56428,-0.311546,-0.556243,-0.569129,0.482892,-6.55034,4.68729,0.451144,-6.35653,4.46743,0.115655,-0.0783851,-0.501359,0.212383,-0.0983168,-0.519356,-0.164149,-13,0.537265,-0.112296,-13,0.174157
2191,4,-0.185,0.998388,0.284477,0.963085,0.000631002,-0.269195,0.000575072,-1.0414,-0.00807007,0.171651,-0.0160382,-4.35334,-0.0550305,-0.00277931,-0.269821,0.665138,-0.00416213,-0.26947,0.665354,0.00369376,-0.559242,1.61266,0.00276593,-0.557128,1.61676,-0.440815,-0.600885,-0.547176,-0.314979,-0.594288,-0.551893,0.488684,-6.33348,4.46608,0.455126,-6.14393,4.25798,0.140725,-0.0457365,-0.455523,0.230932,-0.0663385,-0.473126,-0.192478,-13,0.153055,-0.138767,-13,-0.191942
2192,4,-0.186039,0.99838,0.284647,0.962492,0.000615575,-0.271308,0.000552296,-1.03818,-0.00801745,0.167602,-0.0125129,-4.42365,-0.053294,-0.0032251,-0.270436,0.6646,-0.00447821,-0.270079,0.66481,0.00417924,-0.565468,1.61702,0.00321695,-0.563167,1.62092,-0.450762,-0.628593,-0.530303,-0.317182,-0.624667,-0.534903,0.48228,-6.12034,4.25426,0.446917,-5.93484,4.05687,0.166758,-0.0107362,-0.411064,0.249728,-0.0318226,-0.428285,-0.221626,-13,-0.21308,-0.165956,-13,-0.540958
2193,4,-0.187076,0.998372,0.284812,0.961885,0.000601957,-0.273453,0.000529853,-1.03492,-0.00796982,0.163673,-0.00932563,-4.49427,-0.0518272,-0.00367908,-0.271075,0.664078,-0.00479593,-0.270715,0.664284,0.00465371,-0.571485,1.62118,0.00365523,-0.569,1.62488,-0.457211,-0.649643,-0.51365,-0.318261,-0.64812,-0.518151,0.466649,-5.912,4.05143,0.429649,-5.73044,3.86387,0.193506,0.0261482,-0.367965,0.268693,0.00474605,-0.384813,-0.250755,-13,-0.561894,-0.193017,-13,-0.873552
2194,4,-0.188109,0.998364,0.284974,0.961263,0.000589966,-0.275631,0.000507662,-1.03161,-0.00792661,0.159845,-0.00642479,-4.56548,-0.0505981,-0.00413795,-0.271732,0.663572,-0.00511422,-0.271372,0.663774,0.00510917,-0.577295,1.62513,0.00407301,-0.574631,1.62865,-0.460529,-0.664687,-0.497209,-0.318312,-0.665311,-0.501625,0.444271,-5.70922,3.8571,0.405903,-5.53157,3.67863,0.220745,0.0644953,-0.326207,0.287756,0.0429296,-0.342691,-0.279222,-13,-0.894121,-0.219314,-13,-1.19038
2195,4,-0.189139,0.998356,0.285132,0.960626,0.000579444,-0.277842,0.000485646,-1.02824,-0.00788731,0.156104,-0.00376717,-4.6375,-0.0495788,-0.00459874,-0.272402,0.663083,-0.00543209,-0.272043,0.66328,0.00553989,-0.582906,1.62889,0.00446483,-0.580066,1.63224,-0.46105,-0.674311,-0.480972,-0.317424,-0.676843,-0.485317,0.417173,-5.51262,3.67082,0.377754,-5.3389,3.5008,0.248277,0.103925,-0.285773,0.306853,0.0823326,-0.3019,-0.30655,-13,-1.21046,-0.24438,-13,-1.49208
2196,4,-0.190166,0.998349,0.285286,0.959975,0.000570257,-0.280086,0.000463739,-1.02482,-0.00785146,0.152436,-0.00131572,-4.7105,-0.0487445,-0.00505881,-0.273078,0.66261,-0.00574864,-0.272723,0.662803,0.00594196,-0.588324,1.63248,0.00482713,-0.585312,1.63566,-0.459078,-0.679046,-0.464931,-0.315677,-0.683259,-0.469218,0.38697,-5.32268,3.49216,0.346835,-5.15294,3.33004,0.275925,0.144095,-0.246645,0.325925,0.122597,-0.262422,-0.332393,-13,-1.51158,-0.26789,-13,-1.77926
2197,4,-0.191189,0.998341,0.285437,0.959307,0.00056229,-0.282364,0.000441881,-1.02133,-0.00781863,0.148833,0.000961915,-4.78463,-0.0480729,-0.00551579,-0.273757,0.662153,-0.00606305,-0.273407,0.662342,0.00631291,-0.593555,1.63588,0.00515774,-0.590376,1.6389,-0.454888,-0.679375,-0.449083,-0.313143,-0.685057,-0.453319,0.354921,-5.13978,3.32075,0.314392,-4.97407,3.16606,0.303528,0.184696,-0.208809,0.344918,0.1634,-0.224241,-0.356518,-13,-1.7981,-0.289628,-13,-2.05249
2198,4,-0.192208,0.998333,0.285584,0.958623,0.000555447,-0.284677,0.000420017,-1.01778,-0.0077884,0.145284,0.0030946,-4.86,-0.0475435,-0.0059676,-0.274435,0.661712,-0.00637456,-0.274091,0.661896,0.00665135,-0.598607,1.63912,0.00545561,-0.595264,1.64199,-0.448738,-0.675737,-0.433421,-0.309888,-0.682689,-0.437616,0.321974,-4.9642,3.15625,0.281349,-4.80257,3.00859,0.330947,0.225448,-0.172249,0.363783,0.20445,-0.18734,-0.378774,-13,-2.07061,-0.309465,-13,-2.31234
2199,4,-0.193224,0.998325,0.285727,0.957923,0.000549644,-0.287024,0.000398102,-1.01415,-0.00776039,0.141783,0.00510842,-4.93667,-0.0471368,-0.0064124,-0.275107,0.661286,-0.00668249,-0.274771,0.661466,0.00695675,-0.603487,1.6422,0.00572047,-0.599985,1.64492,-0.440863,-0.668534,-0.417945,-0.30597,-0.676572,-0.422102,0.288815,-4.79614,2.99837,0.248358,-4.63864,2.8574,0.358056,0.266102,-0.136949,0.382474,0.245482,-0.151702,-0.399081,-13,-2.32969,-0.327337,-13,-2.55932
2200,4,-0.194237,0.998317,0.285867,0.957206,0.000544815,-0.289406,0.000376093,-1.01045,-0.00773424,0.138324,0.00702725,-5.0147,-0.046835,-0.00684858,-0.275771,0.660876,-0.0069862,-0.275443,0.661052,0.00722911,-0.608203,1.64512,0.00595257,-0.604545,1.64771,-0.431483,-0.658136,-0.402653,-0.301442,-0.667088,-0.406776,0.255918,-4.63572,2.84681,0.215856,-4.48237,2.71223,0.384744,0.30643,-0.102894,0.40095,0.28626,-0.117313,-0.417405,-13,-2.57588,-0.343228,-13,-2.79396
2201,4,-0.195245,0.99831,0.286004,0.956472,0.000540906,-0.291824,0.000353954,-1.00668,-0.00770958,0.134904,0.00887302,-5.09412,-0.0466207,-0.00727472,-0.276422,0.660481,-0.0072851,-0.276104,0.660653,0.00746886,-0.612763,1.6479,0.00615255,-0.608953,1.65035,-0.420804,-0.644884,-0.387547,-0.296354,-0.654592,-0.391637,0.223583,-4.483,2.70133,0.184106,-4.3338,2.57286,0.410915,0.34623,-0.0700699,0.419172,0.32657,-0.0841583,-0.433747,-13,-2.80969,-0.357154,-13,-3.01675
2202,4,-0.19625,0.998302,0.286137,0.955719,0.000537876,-0.294279,0.000331655,-1.00284,-0.00768608,0.131517,0.0106659,-5.17495,-0.0464776,-0.00768963,-0.277059,0.660101,-0.00757865,-0.276751,0.660269,0.00767664,-0.617173,1.65053,0.00632123,-0.613217,1.65286,-0.409016,-0.629096,-0.372629,-0.290754,-0.639415,-0.376687,0.191976,-4.33797,2.56166,0.153242,-4.1929,2.43907,0.436483,0.385321,-0.0384619,0.437106,0.36622,-0.0522218,-0.448132,-13,-3.03161,-0.369153,-13,-3.22815
2203,4,-0.197251,0.998294,0.286267,0.954949,0.000535693,-0.29677,0.000309169,-0.998937,-0.00766343,0.128161,0.0124244,-5.25719,-0.0463904,-0.00809229,-0.277679,0.659735,-0.00786637,-0.277381,0.659899,0.00785321,-0.621442,1.65302,0.0064595,-0.617343,1.65523,-0.396299,-0.611071,-0.357906,-0.284686,-0.621867,-0.361929,0.161161,-4.2006,2.42755,0.123303,-4.05959,2.31063,0.461378,0.42354,-0.0080549,0.454719,0.40504,-0.0214888,-0.460599,-13,-3.24213,-0.379274,-13,-3.42863
2204,4,-0.198248,0.998287,0.286394,0.954159,0.00053434,-0.299299,0.000286475,-0.994963,-0.00764134,0.124834,0.0141652,-5.34084,-0.0463445,-0.00848185,-0.27828,0.659385,-0.00814781,-0.277993,0.659545,0.00799936,-0.625578,1.65538,0.00656828,-0.62134,1.65748,-0.38282,-0.591087,-0.343385,-0.278194,-0.60224,-0.347369,0.131131,-4.0708,2.29878,0.0942612,-3.93378,2.18731,0.485537,0.460745,0.0211665,0.471982,0.442879,0.00805577,-0.471193,-13,-3.4417,-0.38757,-13,-3.61862
2205,4,-0.199241,0.998279,0.286517,0.95335,0.000533806,-0.301866,0.000263557,-0.990923,-0.00761956,0.121534,0.0159032,-5.4259,-0.0463264,-0.00885762,-0.27886,0.659049,-0.00842257,-0.278585,0.659204,0.00811583,-0.629588,1.65762,0.00664844,-0.625214,1.65961,-0.368734,-0.569409,-0.329073,-0.271323,-0.580808,-0.333016,0.101823,-3.94847,2.17511,0.0660442,-3.81532,2.06889,0.508911,0.49681,0.0492182,0.488869,0.479602,0.0364277,-0.479961,-13,-3.63075,-0.394097,-13,-3.79853
2206,4,-0.20023,0.998271,0.286637,0.952521,0.000534088,-0.304472,0.000240401,-0.986821,-0.00759786,0.118258,0.0176515,-5.51234,-0.0463236,-0.00921908,-0.279418,0.658727,-0.00869029,-0.279154,0.658879,0.00820332,-0.633479,1.65974,0.00670073,-0.628974,1.66162,-0.354186,-0.546284,-0.314983,-0.264118,-0.557831,-0.31888,0.0731428,-3.83347,2.0563,0.0385531,-3.70406,1.95515,0.531457,0.531625,0.0761165,0.505354,0.515093,0.0636431,-0.48695,-13,-3.80971,-0.398906,-13,-3.96878
2207,4,-0.201214,0.998264,0.286753,0.951671,0.000535194,-0.307117,0.000217,-0.982658,-0.00757604,0.115006,0.019421,-5.60014,-0.0463247,-0.00956583,-0.279952,0.658418,-0.00895066,-0.2797,0.658567,0.00826238,-0.637258,1.66174,0.00672585,-0.632626,1.66352,-0.33931,-0.521948,-0.301125,-0.256622,-0.533555,-0.304971,0.0449728,-3.72568,1.94216,0.0116736,-3.59985,1.84587,0.553145,0.565096,0.101879,0.521417,0.549253,0.089719,-0.492199,-13,-3.97897,-0.402044,-13,-4.12974
2208,4,-0.202195,0.998256,0.286867,0.950801,0.000537098,-0.309802,0.000193306,-0.978436,-0.00754644,0.111781,0.0211272,-5.68911,-0.0465218,-0.00989743,-0.280462,0.658124,-0.0092035,-0.280221,0.658268,0.00829354,-0.640934,1.66362,0.00672675,-0.6362,1.66534,-0.323893,-0.496582,-0.287334,-0.24905,-0.508025,-0.291217,0.0173571,-3.62554,1.83305,-0.00987855,-3.54854,1.78462,0.57395,0.597143,0.126523,0.53704,0.581994,0.114673,-0.495743,-13,-4.1389,-0.403551,-13,-4.28178
2209,4,-0.203171,0.998249,0.286977,0.949909,0.000539559,-0.312526,0.000169154,-0.974215,-0.00751294,0.108682,0.0221864,-5.77634,-0.0474486,-0.0102124,-0.280944,0.657845,-0.00944864,-0.280714,0.657985,0.00831064,-0.644646,1.66553,0.00671765,-0.639834,1.6672,-0.305958,-0.468502,-0.271916,-0.241234,-0.479398,-0.276115,0.0168493,-3.79883,1.98266,-0.0083171,-3.71966,1.93312,0.593846,0.627698,0.150061,0.55221,0.613242,0.13852,-0.497612,-13,-4.28991,-0.403605,-13,-4.427
2210,4,-0.204144,0.998241,0.287084,0.948996,0.000542504,-0.315287,0.000144476,-0.970543,-0.0074796,0.105968,0.0236895,-5.85413,-0.047977,-0.0105079,-0.281394,0.657582,-0.00968367,-0.281175,0.657718,0.00832692,-0.648522,1.66758,0.00671037,-0.64363,1.66919,-0.285133,-0.430241,-0.25354,-0.228835,-0.440898,-0.257346,0.0157006,-3.95411,2.11343,-0.00623072,-3.87311,2.06342,0.612742,0.656651,0.172431,0.566918,0.642864,0.161214,-0.498639,-13,-4.44254,-0.403059,-13,-4.57571
2211,4,-0.205113,0.998234,0.287189,0.948064,0.000546177,-0.31808,0.000119381,-0.967387,-0.00744706,0.103626,0.0255406,-5.92316,-0.0481742,-0.0107814,-0.2818,0.657338,-0.0099044,-0.281592,0.657471,0.00834179,-0.652546,1.66975,0.0067054,-0.647572,1.67131,-0.26187,-0.383083,-0.234005,-0.212619,-0.393455,-0.237616,0.0140385,-4.09273,2.22691,-0.00372183,-4.01016,2.17691,0.630474,0.683613,0.19345,0.58102,0.670473,0.182552,-0.499615,-13,-4.60638,-0.402622,-13,-4.73558
2212,4,-0.206079,0.998226,0.287292,0.947113,0.000550775,-0.3209,9.40E-05,-0.964715,-0.00741595,0.101649,0.0276639,-5.9841,-0.0480934,-0.0110307,-0.282156,0.657114,-0.0101074,-0.281958,0.657243,0.00835479,-0.6567,1.67203,0.0067031,-0.651643,1.67354,-0.236662,-0.328875,-0.213268,-0.193363,-0.338989,-0.216675,0.0119588,-4.21588,2.32427,-0.000881187,-4.13198,2.27468,0.646884,0.708013,0.212951,0.594264,0.695504,0.202351,-0.500507,-13,-4.78,-0.402324,-13,-4.90519
2213,4,-0.207042,0.998219,0.287393,0.946144,0.00055645,-0.323745,6.83E-05,-0.962497,-0.00738679,0.100024,0.0299924,-6.03755,-0.0477826,-0.011254,-0.282455,0.656912,-0.0102899,-0.282267,0.657038,0.00836554,-0.66097,1.67439,0.00670376,-0.655829,1.67586,-0.209961,-0.269176,-0.191698,-0.171753,-0.27904,-0.194934,0.00954741,-4.32475,2.40664,0.00221044,-4.23972,2.35778,0.66184,0.729372,0.230842,0.606443,0.717477,0.220522,-0.501287,-13,-4.96205,-0.402186,-13,-5.08325
2214,4,-0.208004,0.998212,0.287492,0.945159,0.00056332,-0.326611,4.24E-05,-0.960704,-0.00736002,0.0987424,0.0324689,-6.08412,-0.0472835,-0.0114501,-0.282693,0.656731,-0.01045,-0.282514,0.656854,0.00837375,-0.665343,1.67683,0.00670761,-0.660116,1.67825,-0.182194,-0.205459,-0.169545,-0.148417,-0.215083,-0.172633,0.006878,-4.42043,2.47507,0.00548397,-4.33444,2.4272,0.675239,0.747313,0.247041,0.617397,0.736018,0.236987,-0.501932,-13,-5.15128,-0.402226,-13,-5.26855
2215,4,-0.208964,0.998204,0.28759,0.944157,0.000571472,-0.329494,1.64E-05,-0.95931,-0.00733599,0.0977931,0.0350447,-6.12434,-0.0466326,-0.011618,-0.282865,0.656573,-0.0105862,-0.282696,0.656693,0.0083792,-0.669805,1.67933,0.00671479,-0.664492,1.6807,-0.153758,-0.139061,-0.147069,-0.123916,-0.148452,-0.150031,0.00401457,-4.50397,2.53059,0.00887984,-4.41715,2.48391,0.687004,0.761552,0.261491,0.627002,0.750842,0.251689,-0.502425,-13,-5.34655,-0.402456,-13,-5.45995
2216,4,-0.209923,0.998197,0.287688,0.943141,0.000580966,-0.332392,-9.62E-06,-0.958287,-0.00731501,0.0971657,0.0376783,-6.15875,-0.0458615,-0.0117574,-0.28297,0.656437,-0.0106975,-0.28281,0.656554,0.00838171,-0.674345,1.68189,0.0067254,-0.668945,1.68321,-0.125019,-0.0711987,-0.124502,-0.098752,-0.0803637,-0.127356,0.00101188,-4.57635,2.57415,0.0123475,-4.48883,2.52882,0.697082,0.771888,0.274155,0.635172,0.761748,0.264596,-0.502752,-13,-5.54678,-0.402887,-13,-5.65639
2217,4,-0.21088,0.998189,0.287784,0.942109,0.000601948,-0.335307,-3.03E-05,-0.955666,-0.00757442,0.0957163,0.0713155,-6.21206,-0.0112293,-0.0118982,-0.283014,0.656315,-0.0107599,-0.282871,0.656438,0.00836114,-0.678971,1.68449,0.00690197,-0.673959,1.68392,-0.156531,-0.0176807,-0.120783,-0.0259148,-0.0417214,-0.104379,-0.0421515,-4.67385,2.63329,0.340782,-5.53913,-1.10668,0.705446,0.778196,0.285018,0.641852,0.768612,0.275691,-0.502903,-13,-5.75097,-0.403524,-13,-5.8569
2218,4,-0.211835,0.998182,0.287879,0.941059,0.000638462,-0.338241,-4.31E-05,-0.955023,-0.0083565,0.0943088,0.0855428,-6.24881,0.00500385,-0.0120504,-0.283002,0.656208,-0.0107657,-0.282882,0.656341,0.00831097,-0.683678,1.68714,0.0071089,-0.679081,1.68473,-0.147791,0.0424642,-0.0922697,0.0143314,0.0200947,-0.090341,-0.0581862,-4.7405,2.66986,0.0730757,-4.70495,2.71239,0.713892,0.780862,0.294829,0.645592,0.772275,0.284961,-0.501669,-13,-5.95926,-0.414118,-13,-5.91379
2219,4,-0.21279,0.998173,0.287974,0.939996,0.000678636,-0.341184,-5.37E-05,-0.954997,-0.00849619,0.0945134,0.0821936,-6.26768,0.00185823,-0.0121768,-0.282926,0.656132,-0.0107453,-0.282827,0.656261,0.0082552,-0.68844,1.68982,0.00717982,-0.683811,1.68745,-0.105049,0.108721,-0.0608291,0.026398,0.0908159,-0.068242,-0.0533557,-4.78413,2.68438,0.0687757,-4.75566,2.7296,0.723022,0.780119,0.303352,0.64594,0.772923,0.29275,-0.498658,-13,-6.17139,-0.426534,-13,-5.97802
2220,4,-0.213704,0.998169,0.288275,0.939202,0.000714156,-0.343364,-5.74E-05,-0.872662,0.00101917,0.508118,0.0581284,-3.01397,0.026538,-0.0118517,-0.282246,0.657104,-0.0102511,-0.282173,0.657214,0.00816757,-0.690824,1.68935,0.0072735,-0.686176,1.68699,0.755288,1.2529,2.00508,0.96202,1.21648,1.97444,-0.121917,0.0155622,-3.62963,0.118584,0.0253339,-3.64777,0.730607,0.775583,0.309475,0.644718,0.769596,0.299093,-0.495312,-13,-6.38556,-0.430789,-13,-6.1957
2221,4,-0.214571,0.99817,0.288781,0.938661,0.000741649,-0.34484,-5.56E-05,-0.861892,0.000801122,0.503556,0.0439569,-3.27433,0.0134642,-0.0111075,-0.280739,0.657995,-0.00933574,-0.280704,0.658086,0.00802752,-0.69191,1.68681,0.00732583,-0.687288,1.68448,0.733116,1.76118,-0.22254,0.868666,1.72053,-0.231754,-0.158172,-2.18784,-1.43461,-0.0139281,-2.24851,-1.36299,0.7111,0.734734,0.231705,0.615065,0.730377,0.222845,-0.490054,-13,-6.34775,-0.43641,-13,-6.15897
2222,4,-0.215428,0.998171,0.289282,0.93808,0.000761454,-0.346417,-5.72E-05,-0.852748,0.000650914,0.499445,0.0339454,-3.44933,0.00313764,-0.0104172,-0.279198,0.658014,-0.00853737,-0.279201,0.658094,0.00790659,-0.694546,1.68581,0.00732364,-0.689993,1.68356,0.647496,1.32079,0.260198,0.728072,1.28592,0.247695,-0.0836823,-3.08272,-0.578206,0.00955571,-3.16133,-0.483026,0.666448,0.644312,0.160404,0.560145,0.642267,0.153138,-0.481651,-13,-6.14518,-0.43955,-13,-5.95854
2223,4,-0.216278,0.998172,0.28978,0.937468,0.000775848,-0.34807,-6.15E-05,-0.845988,0.000539515,0.496096,0.0274504,-3.60182,-0.0043404,-0.00979959,-0.277957,0.658202,-0.00785997,-0.277994,0.658271,0.00786115,-0.697826,1.6854,0.00735828,-0.693352,1.68325,0.587634,1.15984,0.115844,0.626729,1.12835,0.10598,-0.00719863,-3.47688,-0.230098,0.0597089,-3.55721,-0.13276,0.625029,0.551853,0.158897,0.512242,0.552074,0.1525,-0.474396,-13,-6.06467,-0.439419,-13,-5.8847
