t,x,y,r,lhx,lhy,lk,rhx,rhy,rk,dx,dy,dr,dlhx,dlhy,dlk,drhx,drhy,drk,ulhx,ulhy,ulk,urhx,urhy,urk
0.0,0.0,0.19,0.0,-0.0,-1.0471975511965979,2.0943951023931953,0.0,-1.0471975511965979,2.0943951023931953,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-5.207226843565285,-4.645571717813803,-34.20283173468331,-3.5191105881685343,-4.521803922024614,-34.22631941019687
0.002,-1.792029668291986e-05,0.19020303070022065,-0.000331745837080449,-0.0004252633084955265,-1.0465118801934592,2.0930921454686406,0.0004253014057619141,-1.0465802188405693,2.0932220232758674,-0.004124731302679468,0.02882004530507469,-0.03742258738698903,-0.05889173588200434,0.09353720311637016,-0.1777640311420031,0.058903165050493325,0.09152012641807228,-0.17392865493761667,-4.386823238673376,-3.8160973546055086,-27.69428714530096,-2.664822116718564,-3.8954419982057473,-29.271142559977395
0.004,-3.584059336583972e-05,0.1904060614004413,-0.000663491674160898,-0.000850526616991053,-1.0458262091903205,2.0917891885440865,0.0008506028115238282,-1.045962886484541,2.0920489441585395,-0.008249462605358936,0.05764009061014938,-0.07484517477397806,-0.11778347176400868,0.18707440623274033,-0.3555280622840062,0.11780633010098665,0.18304025283614456,-0.34785730987523333,-3.5664196337814666,-2.9866229913972138,-21.185742555918615,-1.810533645268594,-3.2690800743868804,-24.31596570975792
0.006,-5.3760890048759575e-05,0.19060909210066193,-0.000995237511241347,-0.0012757899254865793,-1.0451405381871819,2.090486231619532,0.0012759042172857421,-1.0453455541285124,2.0908758650412116,-0.012374193908038403,0.08646013591522406,-0.1122677621609671,-0.176675207646013,0.28061160934911045,-0.5332920934260093,0.17670949515147996,0.2745603792542168,-0.5217859648128499,-2.746016028889558,-2.157148628188919,-14.677197966536273,-0.956245173818624,-2.6427181505680135,-19.360788859538438
0.008,-7.168118673167944e-05,0.19081212280088258,-0.001326983348321796,-0.001701053233982106,-1.0444548671840432,2.0891832746949777,0.0017012056230476563,-1.044728221772484,2.0897027859238837,-0.01649892521071787,0.11528018122029876,-0.14969034954795613,-0.23556694352801735,0.37414881246548065,-0.7110561245680124,0.2356126602019733,0.3660805056722891,-0.6957146197504667,-1.9256124239976486,-1.3276742649806241,-8.168653377153927,-0.10195670236865384,-2.016356226749146,-14.405612009318961
0.01,-8.96014834145993e-05,0.19101515350110324,-0.0016587291854022448,-0.0021263165424776323,-1.0437691961809046,2.087880317770423,0.0021265070288095703,-1.0441108894164555,2.088529706806556,-0.02062365651339734,0.14410022652537344,-0.18711293693494516,-0.2944586794100217,0.4676860155818508,-0.8888201557100154,0.2945158252524666,0.45760063209036134,-0.8696432746880832,-1.1052088191057394,-0.4981999017723297,-1.660108787771581,0.7523317690813159,-1.3899943029302793,-9.450435159099484
0.012,-0.0001583493153692178,0.1912727507147946,-0.0018089669182131433,-0.0026331732110894965,-1.0430076780537627,2.086432810387391,0.002633182718136145,-1.0432163838634787,2.0868294159531597,-0.02600041259245067,0.13818823599323415,-0.14459492638129723,-0.2796357135137831,0.4341563049545779,-0.8251384671885053,0.27959284895092196,0.4535509191785796,-0.8620101292601832,-1.0611192799254527,-0.5252072045317085,-1.8775900504371261,0.7569975375962256,-1.388765637532039,-9.432715051917338
0.014,-0.00022709714732383634,0.19153034792848597,-0.001959204651024042,-0.0031400298797013603,-1.0422461599266208,2.0849853030043586,0.0031398584074627204,-1.042321878310502,2.0851291250997637,-0.031377168671504,0.13227624546109487,-0.1020769158276493,-0.2648127476175445,0.400626594327305,-0.7614567786669952,0.26466987264937725,0.44950120626679785,-0.8543769838322831,-1.017029740745166,-0.5522145072910873,-2.0950713131026713,0.7616633061111351,-1.3875369721337987,-9.414994944735191
0.016,-0.00029584497927845484,0.19178794514217737,-0.0021094423838349404,-0.003646886548313224,-1.041484641799479,2.083537795621326,0.003646534096789295,-1.0414273727575254,2.083428834246367,-0.036753924750557325,0.12636425492895562,-0.05955890527400137,-0.2499897817213059,0.36709688370003213,-0.6977750901454851,0.24974689634783256,0.4454514933550161,-0.8467438384043829,-0.9729402015648794,-0.5792218100504662,-2.312552575768216,0.7663290746260447,-1.3863083067355586,-9.397274837553047
0.018000000000000002,-0.0003645928112330734,0.19204554235586874,-0.002259680116645839,-0.004153743216925089,-1.040723123672337,2.0820902882382937,0.00415320978611587,-1.0405328672045486,2.081728543392971,-0.04213068082961066,0.12045226439681632,-0.017040894720353417,-0.23516681582506727,0.3335671730727592,-0.634093401623975,0.23482392004628788,0.44140178044323436,-0.8391106929764829,-0.9288506623845927,-0.6062291128098451,-2.530033838433761,0.7709948431409542,-1.3850796413373183,-9.3795547303709
