t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.0,0.0,0.20500000000000002,0.0,-1.0471975511965979,2.0943951023931953,-1.0471975511965979,2.0943951023931953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48.0,-72.0,-48.0,-72.0
0.001,0.0002050122136308732,0.20519664902078177,0.0031937772781878643,-1.0525323521542096,2.0964692299774343,-1.049134698955963,2.090147963282232,0.020860292709923026,0.019103733971693723,0.3220721655165021,-0.5479712423392199,0.21167782215342243,-0.1884056953590008,-0.42788180616572896,-44.93757825795223,-67.87316087398807,-44.97831551071572,-67.63837383923324
0.002,0.0004100244272617464,0.20539329804156353,0.006387554556375729,-1.0578671531118218,2.098543357561674,-1.0510718467153275,2.0859008241712695,0.04172058541984605,0.038207467943387446,0.6441443310330042,-1.0959424846784398,0.42335564430684486,-0.3768113907180016,-0.8557636123314579,-41.875156515904465,-63.74632174797614,-41.956631021431434,-63.27674767846648
0.003,0.0006150366408926197,0.2055899470623453,0.009581331834563594,-1.0632019540694335,2.100617485145913,-1.0530089944746925,2.0816536850603065,0.06258087812976908,0.05731120191508117,0.9662164965495063,-1.6439137270176598,0.6350334664602673,-0.5652170860770024,-1.283645418497187,-38.8127347738567,-59.6194826219642,-38.93494653214715,-58.91512151769972
0.004,0.0008200488545234929,0.20578659608312705,0.012775109112751457,-1.0685367550270457,2.1026916127301525,-1.0549461422340571,2.0774065459493434,0.0834411708396921,0.07641493588677489,1.2882886620660083,-2.1918849693568796,0.8467112886136897,-0.7536227814360033,-1.7115272246629158,-35.75031303180893,-55.49264349595227,-35.91326204286287,-54.553495356932956
0.005,0.0010250610681543663,0.2059832451039088,0.015968886390939324,-1.0738715559846574,2.1047657403143916,-1.0568832899934222,2.0731594068383803,0.10430146354961514,0.09551866985846862,1.6103608275825105,-2.7398562116961,1.0583891107671122,-0.9420284767950041,-2.139409030828645,-32.687891289761154,-51.365804369940335,-32.891577553578585,-50.191869196166195
0.006,0.0012300732817852394,0.20617989412469057,0.019162663669127188,-1.0792063569422696,2.1068398678986306,-1.0588204377527872,2.0689122677274177,0.12516175625953815,0.11462240383016234,1.9324329930990125,-3.2878274540353196,1.2700669329205345,-1.1304341721540048,-2.567290836994374,-29.62546954771339,-47.238965243928405,-29.8698930642943,-45.830243035399434
0.007,0.0014350854954161127,0.20637654314547232,0.02235644094731505,-1.0845411578998814,2.10891399548287,-1.0607575855121518,2.0646651286164546,0.1460220489694612,0.13372613780185605,2.2545051586155145,-3.8357986963745394,1.4817447550739569,-1.3188398675130055,-2.9951726431601027,-26.563047805665622,-43.112126117916475,-26.848208575010016,-41.46861687463268
0.008,0.0016400977090469857,0.2065731921662541,0.025550218225502914,-1.0898759588574936,2.1109881230671093,-1.0626947332715169,2.0604179895054915,0.1668823416793842,0.15282987177354979,2.5765773241320167,-4.383769938713759,1.6934225772273794,-1.5072455628720065,-3.4230544493258317,-23.500626063617855,-38.985286991904545,-23.826524085725733,-37.10699071386592
0.009000000000000001,0.0018451099226778592,0.20676984118703587,0.028743995503690785,-1.0952107598151053,2.113062250651349,-1.0646318810308815,2.0561708503945284,0.18774263438930727,0.17193360574524352,2.8986494896485193,-4.93174118105298,1.905100399380802,-1.6956512582310075,-3.850936255491561,-20.438204321570083,-34.85844786589261,-20.804839596441447,-32.74536455309915
0.010000000000000002,0.0020501221363087327,0.20696649020781763,0.031937772781878655,-1.1005455607727175,2.115136378235588,-1.0665690287902465,2.0519237112835658,0.2086029270992303,0.1910373397169373,3.2207216551650215,-5.4797124233922005,2.116778221534225,-1.8840569535900085,-4.278818061657291,-17.37578257952231,-30.73160873988067,-17.783155107157157,-28.38373839233239
0.011000000000000003,0.002255134349939606,0.20716313922859939,0.03513155006006652,-1.1058803617303292,2.117210505819827,-1.0685061765496116,2.0476765721726027,0.22946321980915335,0.210141073688631,3.5427938206815237,-6.027683665731421,2.3284560436876474,-2.0724626489490094,-4.706699867823019,-14.31336083747454,-26.60476961386874,-14.761470617872874,-24.02211223156563
0.012000000000000004,0.0024601465635704796,0.20735978824938114,0.03832532733825438,-1.1112151626879414,2.1192846334040665,-1.0704433243089762,2.0434294330616396,0.2503235125190764,0.22924480766032473,3.8648659861980263,-6.575654908070641,2.54013386584107,-2.2608683443080104,-5.134581673988749,-11.250939095426766,-22.477930487856796,-11.739786128588591,-19.66048607079886
0.013000000000000005,0.002665158777201353,0.2075564372701629,0.04151910461644225,-1.1165499636455531,2.1213587609883056,-1.0723804720683412,2.0391822939506765,0.2711838052289995,0.2483485416320185,4.1869381517145285,-7.123626150409862,2.7518116879944925,-2.4492740396670114,-5.562463480154479,-8.188517353378998,-18.35109136184486,-8.718101639304301,-15.298859910032093
0.014000000000000005,0.002870170990832226,0.20775308629094466,0.044712881894630116,-1.1218847646031653,2.123432888572545,-1.0743176198277058,2.034935154839714,0.2920440979389225,0.2674522756037122,4.509010317231031,-7.671597392749082,2.963489510147915,-2.6376797350260124,-5.990345286320208,-5.12609561133123,-14.224252235832928,-5.696417150020018,-10.937233749265339
0.015000000000000006,0.0030751832044631005,0.20794973531172642,0.047906659172818,-1.127219565560777,2.125507016156784,-1.0762547675870708,2.030688015728751,0.3129043906488454,0.28655600957540583,4.831082482747531,-8.219568635088299,3.1751673323013363,-2.826085430385012,-6.418227092485934,-2.063673869283478,-10.097413109821021,-2.6747326607357516,-6.575607588498593
0.016000000000000007,0.00339918364841245,0.20821805444330418,0.052836107972920106,-1.1359267578823427,2.1288197613788142,-1.0789435959981808,2.024167991693718,0.31440538808031626,0.28403090819314236,4.8453657877271645,-8.288109206963549,3.1941520645389976,-2.8092515708886703,-6.432249255235971,-2.069843914042168,-10.04875685708016,-2.6710157215867274,-6.565700318733282
0.017000000000000008,0.0037231840923617992,0.20848637357488195,0.05776555677302221,-1.1446339502039078,2.1321325066008443,-1.0816324244092907,2.017647967658685,0.3159063855117871,0.28150580681087894,4.859649092706798,-8.356649778838797,3.2131367967766584,-2.7924177113923285,-6.446271417986007,-2.0760139588008575,-10.000100604339302,-2.6672987824377032,-6.555793048967971
0.01800000000000001,0.004047184536311149,0.2087546927064597,0.06269500557312432,-1.1533411425254734,2.135445251822874,-1.0843212528204003,2.011127943623652,0.317407382943258,0.27898070542861547,4.873932397686431,-8.425190350714047,3.2321215290143193,-2.7755838518959868,-6.460293580736044,-2.0821840035595476,-9.951444351598443,-2.6635818432886795,-6.545885779202661
0.01900000000000001,0.004371184980260498,0.20902301183803745,0.06762445437322642,-1.1620483348470385,2.138757997044904,-1.0870100812315102,2.0046079195886195,0.31890838037472885,0.27645560404635205,4.888215702666064,-8.493730922589295,3.25110626125198,-2.758749992399645,-6.4743157434860805,-2.0883540483182372,-9.902788098857583,-2.6598649041396554,-6.53597850943735
0.02000000000000001,0.004695185424209847,0.20929133096961522,0.07255390317332854,-1.170755527168604,2.142070742266934,-1.0896989096426202,1.9980878955535866,0.3204093778061997,0.27393050266408864,4.902499007645697,-8.562271494464543,3.2700909934896414,-2.7419161329033037,-6.488337906236117,-2.094524093076927,-9.854131846116724,-2.656147964990631,-6.5260712396720395
