t,x,y,r,bh,bt,fh,ft,dx,dy,dr,dbh,dbt,dfh,dft,ubh,ubt,ufh,uft
0.031,-0.010231408,0.210071083,-0.250043159,-1.065,2.077176041,-1.216,2.371,-0.352139618,0.221571073,-7.700447112,0,0,10.14708539,5.254026327,0,0,0,0
0.032,-0.010562661,0.210302078,-0.256904437,-1.06,2.077176041,-1.2156,2.372,-0.3489611,0.22280044,-7.5761652,0,0,10.15139101,5.107620614,0,0,0,0
0.033,-0.010893915,0.210533073,-0.263765715,-1.055,2.077176041,-1.2152,2.373,-0.345782583,0.224029807,-7.451883289,0,0,10.15569663,4.961214901,0,0,0,0
0.034,-0.011225168,0.210764068,-0.270626993,-1.05,2.077176041,-1.2148,2.374,-0.342604066,0.225259174,-7.327601377,0,0,10.16000225,4.814809188,0,0,0,0
0.035,-0.011556421,0.210995063,-0.277488272,-1.045,2.077176041,-1.2144,2.375,-0.339425549,0.22648854,-7.203319465,0,0,10.16430787,4.668403474,0,0,0,0
0.036,-0.011887675,0.211226058,-0.28434955,-1.04,2.077176041,-1.214,2.376,-0.336247031,0.227717907,-7.079037553,0,0,10.16861349,4.521997761,0,0,0,0
0.037,-0.012218928,0.211457053,-0.291210828,-1.035,2.077176041,-1.2136,2.377,-0.333068514,0.228947274,-6.954755642,0,0,10.17291911,4.375592048,0,0,0,0
0.038,-0.012550181,0.211688048,-0.298072106,-1.03,2.077176041,-1.2132,2.378,-0.329889997,0.230176641,-6.83047373,0,0,10.17722473,4.229186335,0,0,0,0
0.039,-0.012881435,0.211919043,-0.304933385,-1.025,2.077176041,-1.2128,2.379,-0.32671148,0.231406008,-6.706191818,0,0,10.18153035,4.082780622,0,0,0,0
0.04,-0.013212688,0.212150038,-0.311794663,-1.02,2.077176041,-1.2124,2.38,-0.323532962,0.232635375,-6.581909906,0,0,10.18583597,3.936374909,0,0,0,0
0.041,-0.013543941,0.212381033,-0.318655941,-1.015,2.077176041,-1.212,2.381,-0.320354445,0.233864742,-6.457627994,0,0,10.19014159,3.789969195,0,0,0,0
0.042,-0.013875195,0.212612027,-0.325517219,-1.01,2.077176041,-1.2116,2.382,-0.317175928,0.235094109,-6.333346083,0,0,10.19444721,3.643563482,0,0,0,0
0.043,-0.014206448,0.212843022,-0.332378498,-1.005,2.077176041,-1.2112,2.383,-0.31399741,0.236323476,-6.209064171,0,0,10.19875283,3.497157769,0,0,0,0
0.044,-0.014537702,0.213074017,-0.339239776,-1,2.077176041,-1.2108,2.384,-0.310818893,0.237552843,-6.084782259,0,0,10.20305845,3.350752056,0,0,0,0
0.045,-0.014868955,0.213305012,-0.346101054,-0.995,2.077176041,-1.2104,2.385,-0.307640376,0.23878221,-5.960500347,0,0,10.20736407,3.204346343,0,0,0,0
0.046,-0.015153518,0.213545891,-0.351265556,-0.99,2.077176041,-1.21,2.386,-0.30456896,0.238873411,-5.857172754,0,0,10.13653504,3.098201216,0,0,0,0
0.047,-0.015438081,0.21378677,-0.356430058,-0.985,2.077176041,-1.2096,2.387,-0.301497545,0.238964612,-5.75384516,0,0,10.06570601,2.99205609,0,0,0,0
0.048,-0.015722645,0.214027649,-0.36159456,-0.98,2.077176041,-1.2092,2.388,-0.298426129,0.239055813,-5.650517566,0,0,9.994876984,2.885910964,0,0,0,0
0.049,-0.016007208,0.214268528,-0.366759062,-0.975,2.077176041,-1.2088,2.389,-0.295354714,0.239147014,-5.547189972,0,0,9.924047954,2.779765838,0,0,0,0
0.05,-0.016291771,0.214509407,-0.371923564,-0.97,2.077176041,-1.2084,2.39,-0.292283298,0.239238215,-5.443862378,0,0,9.853218924,2.673620712,0,0,0,0
0.051,-0.016576335,0.214750286,-0.377088066,-0.965,2.077176041,-1.208,2.391,-0.289211882,0.239329416,-5.340534784,0,0,9.782389894,2.567475586,0,0,0,0
0.052,-0.016860898,0.214991165,-0.382252569,-0.96,2.077176041,-1.2076,2.392,-0.286140467,0.239420617,-5.23720719,0,0,9.711560864,2.461330459,0,0,0,0
0.053,-0.017145461,0.215232044,-0.387417071,-0.955,2.077176041,-1.2072,2.393,-0.283069051,0.239511818,-5.133879597,0,0,9.640731835,2.355185333,0,0,0,0
